,Unnamed: 0,method_str,masked_method,method_name,prediction,prediction_scores,prediction_weighted_score,c2v_pred,c2v_prediction_scores,c2v_prediction_weighted_score
0,0,"protected static long getCPtr(SWIGTYPE_p_p_btSoftBody obj) {return (obj == null) ? 0 : obj.swigCPtr;}protected static long getCPtr(SWIGTYPE_p_PHY_ScalarType obj) {return (obj == null) ? 0 : obj.swigCPtr;}public MeasuredDimension calcMeasures(int widthMeasureSpec, int heightMeasureSpec) {return new MeasuredDimension(width, height);}public boolean isDone() {return future.isDone();}
","protected static long [MASK](SWIGTYPE_p_p_btSoftBody obj) {return (obj == null) ? 0 : obj.swigCPtr;}protected static long [MASK](SWIGTYPE_p_PHY_ScalarType obj) {return (obj == null) ? 0 : obj.swigCPtr;}public MeasuredDimension calcMeasures(int widthMeasureSpec, int heightMeasureSpec) {return new MeasuredDimension(width, height);}public boolean isDone() {return future.isDone();}
",getCPtr,"[{'value': ['get'], 'probability': 0.2620081305503845}, {'value': ['read'], 'probability': 0.04808776453137398}, {'value': ['compare'], 'probability': 0.03511582687497139}, {'value': ['evaluate'], 'probability': 0.027507711201906204}, {'value': ['from'], 'probability': 0.023317234590649605}]","[1.0, 0.5726487, 0.46117607, 0.40115592, 0.61345124]",0.3310789732307799,"[{'value': ['get', 'C', 'Ptr'], 'probability': 1.0}, {'value': ['size'], 'probability': 1.054314235915399e-08}, {'value': ['get', 'Flags'], 'probability': 8.130188966504193e-09}, {'value': ['get', 'Type'], 'probability': 4.1625649593868275e-09}, {'value': ['get', 'Id'], 'probability': 2.1514112713560962e-09}, {'value': ['get', 'Base'], 'probability': 1.9387691452266154e-09}, {'value': ['get', 'First'], 'probability': 1.7844875577210928e-09}, {'value': ['height'], 'probability': 6.839201427411012e-10}, {'value': ['get', 'Count'], 'probability': 3.1865962646371315e-10}, {'value': ['get', 'Top'], 'probability': 3.1842023462402835e-10}]","[1.0, 0.43109724, 1.0, 1.0, 1.0, 1.0, 1.0, 0.30686238, 1.0, 1.0]",1.0000000235594908
1,1,"public T get() {try {return future.get();} catch (InterruptedException ex) {return null;} catch (ExecutionException ex) {throw new GdxRuntimeException(ex.getCause());}}protected void begin() {value = start;}
","public T [MASK]() {try {return future.[MASK]();} catch (InterruptedException ex) {return null;} catch (ExecutionException ex) {throw new GdxRuntimeException(ex.[MASK]Cause());}}protected void begin() {value = start;}
",get,"[{'value': ['execute'], 'probability': 0.12403872609138489}, {'value': ['get'], 'probability': 0.08103445917367935}, {'value': ['value'], 'probability': 0.06842997670173645}, {'value': ['create'], 'probability': 0.06592228263616562}, {'value': ['jump'], 'probability': 0.03748412802815437}]","[0.37713256, 1.0, 0.46303764, 0.62328804, 0.526757]",0.2203327539153274,"[{'value': ['poll'], 'probability': 0.7497926354408264}, {'value': ['wrap'], 'probability': 0.12406522035598755}, {'value': ['get', 'next'], 'probability': 0.03468378260731697}, {'value': ['unwrap'], 'probability': 0.02656671591103077}, {'value': ['get', 'result'], 'probability': 0.013429784215986729}, {'value': ['get', 'first'], 'probability': 0.011927759274840355}, {'value': ['try', 'get'], 'probability': 0.011188051663339138}, {'value': ['get', 'value'], 'probability': 0.009943156503140926}, {'value': ['get', 'work'], 'probability': 0.00938088446855545}, {'value': ['close', 'result', 'set'], 'probability': 0.009022068232297897}]","[0.29275376, 0.40682167, 0.926832, 0.10443802, 0.90688056, 0.8991456, 0.9404054, 0.8500731, 0.91827714, 0.7149607]",0.36184004074057274
2,2,"protected void update(float percent) {value = (int) (start + (end - start) * percent);}
","protected void [MASK](float percent) {value = (int) (start + (end - start) * percent);}
",update,"[{'value': ['value'], 'probability': 0.47595396637916565}, {'value': ['write'], 'probability': 0.049470122903585434}, {'value': ['evaluate'], 'probability': 0.04757155105471611}, {'value': ['count'], 'probability': 0.029781414195895195}, {'value': ['set'], 'probability': 0.02490827813744545}]","[0.21691036, 0.33396447, 0.4158154, 0.19306125, 0.41854778]",0.1557165361148914,"[{'value': ['interpolate'], 'probability': 0.7209624648094177}, {'value': ['put'], 'probability': 0.1216229796409607}, {'value': ['progress'], 'probability': 0.044738754630088806}, {'value': ['start'], 'probability': 0.0425480455160141}, {'value': ['record'], 'probability': 0.013403168879449368}, {'value': ['characters'], 'probability': 0.013374438509345055}, {'value': ['loop'], 'probability': 0.012487015686929226}, {'value': ['insert'], 'probability': 0.011477814987301826}, {'value': ['percent'], 'probability': 0.010257472284138203}, {'value': ['value', 'at'], 'probability': 0.009127848781645298}]","[-0.039974824, 0.37657535, 0.37319824, 0.46057966, 0.31287798, 0.2183198, 0.05837605, 0.41835332, 0.20990627, 0.2989479]",0.07079910208517645
3,3,"public int getValue() {return value;}
","public int [MASK]() {return value;}
",getValue,"[{'value': ['value'], 'probability': 0.908780038356781}, {'value': ['get'], 'probability': 0.016908731311559677}, {'value': ['size'], 'probability': 0.00411969842389226}, {'value': ['id'], 'probability': 0.0030949863139539957}, {'value': ['bar'], 'probability': 0.0022595126647502184}]","[0.46303764, 1.0, 0.43109724, 0.2945777, 0.45318797]",0.4414197839135742,"[{'value': ['get', 'value'], 'probability': 0.4773022532463074}, {'value': ['value'], 'probability': 0.29334428906440735}, {'value': ['int', 'value'], 'probability': 0.13668601214885712}, {'value': ['get', 'number'], 'probability': 0.04621019586920738}, {'value': ['hash', 'code'], 'probability': 0.018621953204274178}, {'value': ['get'], 'probability': 0.017651773989200592}, {'value': ['get', 'rgb'], 'probability': 0.005849177949130535}, {'value': ['long', 'value'], 'probability': 0.0022144033573567867}, {'value': ['get', 'int', 'value'], 'probability': 0.0014023067196831107}, {'value': ['to', 'integer'], 'probability': 0.0007176483049988747}]","[0.8500731, 0.46303764, 0.33695218, 0.87729096, 0.33598104, 1.0, 0.6617862, 0.65947056, 0.733044, 0.56183666]",0.6588384801524667
4,4,"public void setValue(int value) {this.value = value;}
","public void [MASK](int value) {this.value = value;}
",setValue,"[{'value': ['set'], 'probability': 0.2497398555278778}, {'value': ['put'], 'probability': 0.24624180793762207}, {'value': ['value'], 'probability': 0.08183981478214264}, {'value': ['evaluate'], 'probability': 0.055905312299728394}, {'value': ['convert'], 'probability': 0.011845052242279053}]","[1.0, 0.7944568, 0.47274652, 0.31490386, 0.43720448]",0.5068413253739323,"[{'value': ['set', 'value'], 'probability': 0.9680300951004028}, {'value': ['set'], 'probability': 0.029266733676195145}, {'value': ['set', 'max', 'mortgage', 'day', 'lates', 'x'], 'probability': 0.0005482255364768207}, {'value': ['set', 'result'], 'probability': 0.0005215473938733339}, {'value': ['update', 'value'], 'probability': 0.0004220196860842407}, {'value': ['set', 'int'], 'probability': 0.0003667882119771093}, {'value': ['set', 'int', 'value'], 'probability': 0.0003417368570808321}, {'value': ['set', 'id'], 'probability': 0.00024248605768661946}, {'value': ['set', 'integer', 'value'], 'probability': 0.00014445077977143228}, {'value': ['set', 'property'], 'probability': 0.00011588012421270832}]","[0.8399167, 1.0, 0.7749108, 0.903226, 0.5728249, 0.67937934, 0.72021157, 0.7939222, 0.69468284, 0.84050834]",0.8443545930184198
5,5,"public int getStart() {return start;}
","public int [MASK]() {return start;}
",getStart,"[{'value': ['start'], 'probability': 0.9470076560974121}, {'value': ['end'], 'probability': 0.019167937338352203}, {'value': ['finish'], 'probability': 0.0064689782448112965}, {'value': ['stop'], 'probability': 0.0051628039218485355}, {'value': ['get'], 'probability': 0.0017052257899194956}]","[0.7199945, 0.66437757, 0.52801555, 0.6723754, 1.0]",0.703167326810116,"[{'value': ['get', 'start'], 'probability': 0.9463371634483337}, {'value': ['start'], 'probability': 0.02626008167862892}, {'value': ['get', 'start', 'index'], 'probability': 0.00754346139729023}, {'value': ['set', 'caps'], 'probability': 0.006745459046214819}, {'value': ['get', 'begin', 'index'], 'probability': 0.006602548994123936}, {'value': ['get', 'offset'], 'probability': 0.001981828361749649}, {'value': ['start', 'offset'], 'probability': 0.0018902948359027505}, {'value': ['get', 'start', 'position'], 'probability': 0.0012661124346777797}, {'value': ['get', 'start', 'offset'], 'probability': 0.0009183806832879782}, {'value': ['get', 'range', 'start'], 'probability': 0.00045466001029126346}]","[0.93239695, 0.7199945, 0.7894199, 0.5602151, 0.77575195, 0.8314387, 0.63700384, 0.88125086, 0.8619249, 0.85775924]",0.9212740266035533
6,6,"public void setStart(int start) {this.start = start;}
","public void [MASK](int start) {this.start = start;}
",setStart,"[{'value': ['start'], 'probability': 0.4886297583580017}, {'value': ['run'], 'probability': 0.06630699336528778}, {'value': ['apply'], 'probability': 0.03216356411576271}, {'value': ['update'], 'probability': 0.020519880577921867}, {'value': ['execute'], 'probability': 0.0204013604670763}]","[0.71166486, 0.67632943, 0.5010617, 0.41854778, 0.35167885]",0.4244652044568286,"[{'value': ['set', 'start'], 'probability': 0.9984354376792908}, {'value': ['set', 'start', 'index'], 'probability': 0.0005864756531082094}, {'value': ['start'], 'probability': 0.0004442514618858695}, {'value': ['set', 'caps'], 'probability': 0.00012471828085836023}, {'value': ['set', 'begin'], 'probability': 0.00011986298341071233}, {'value': ['set', 'int'], 'probability': 9.761375986272469e-05}, {'value': ['set', 'offset'], 'probability': 5.8515521232038736e-05}, {'value': ['set', 'selection'], 'probability': 5.819912985316478e-05}, {'value': ['set', 'start', 'time'], 'probability': 4.531437298282981e-05}, {'value': ['get', 'text', 'range'], 'probability': 2.9703782274737023e-05}]","[0.9239763, 0.8127695, 0.71166486, 0.8324062, 0.9044586, 0.67937934, 0.8107425, 0.866252, 0.8990876, 0.70852184]",0.9237616968236451
7,7,"public int getEnd() {return end;}
","public int [MASK]() {return end;}
",getEnd,"[{'value': ['start'], 'probability': 0.5210567116737366}, {'value': ['end'], 'probability': 0.4609813392162323}, {'value': ['begin'], 'probability': 0.005176663398742676}, {'value': ['finish'], 'probability': 0.0014217575080692768}, {'value': ['close'], 'probability': 0.0008854892803356051}]","[0.7199945, 0.66437757, 0.6044154, 0.52801555, 0.6033417]",0.6858374388585448,"[{'value': ['get', 'end'], 'probability': 0.9914856553077698}, {'value': ['end'], 'probability': 0.004507347941398621}, {'value': ['get', 'end', 'index'], 'probability': 0.003587448736652732}, {'value': ['get', 'end', 'position'], 'probability': 0.00012621015775948763}, {'value': ['get', 'length'], 'probability': 0.00010971919255098328}, {'value': ['get', 'end', 'offset'], 'probability': 6.44179672235623e-05}, {'value': ['get', 'range', 'end'], 'probability': 3.523338818922639e-05}, {'value': ['set', 'end'], 'probability': 3.412157093407586e-05}, {'value': ['get', 'buffer', 'end'], 'probability': 2.7486777980811894e-05}, {'value': ['length'], 'probability': 2.238972592749633e-05}]","[0.9180042, 0.66437757, 0.7698885, 0.8603206, 0.8075286, 0.8421542, 0.8346342, 0.70954156, 0.80727166, 0.3304365]",0.9162791500006756
8,8,"public void setEnd(int end) {this.end = end;}public Dependency getDependency(ProjectDependency gdx) {return gdxDependencies.get(gdx);}
","public void [MASK](int end) {this.end = end;}public Dependency getDependency(ProjectDependency gdx) {return gdxDependencies.get(gdx);}
",setEnd,"[{'value': ['start'], 'probability': 0.3936963677406311}, {'value': ['end'], 'probability': 0.0641915574669838}, {'value': ['visit'], 'probability': 0.051939357072114944}, {'value': ['set'], 'probability': 0.04554720222949982}, {'value': ['add'], 'probability': 0.04418507590889931}]","[0.71166486, 0.7168061, 0.46053246, 1.0, 0.5084879]",0.4181273070175056,"[{'value': ['set', 'end'], 'probability': 0.9997044205665588}, {'value': ['set', 'end', 'index'], 'probability': 0.00016934075392782688}, {'value': ['set', 'end', 'time'], 'probability': 5.726951712858863e-05}, {'value': ['end'], 'probability': 4.766782876686193e-05}, {'value': ['get', 'end'], 'probability': 5.911368134547956e-06}, {'value': ['set', 'source', 'range', 'end'], 'probability': 4.8927945499599446e-06}, {'value': ['set', 'end', 'offset'], 'probability': 3.615842388171586e-06}, {'value': ['update', 'end'], 'probability': 2.515608684916515e-06}, {'value': ['set', 'last', 'token'], 'probability': 2.480502871549106e-06}, {'value': ['m', 'end'], 'probability': 1.7597185433260165e-06}]","[0.92506, 0.80852246, 0.90195376, 0.7168061, 0.7480624, 0.83574903, 0.8427696, 0.6851584, 0.86777383, 0.6452853]",0.9250258803079694
9,9,"public String[] getDependencies(ProjectType type) {switch(type) {case CORE:return coreDependencies;case DESKTOP:return desktopDependencies;case ANDROID:return androidDependencies;case IOS:return iosDependencies;case HTML:return gwtDependencies;}return null;}
","public String[] [MASK](ProjectType type) {switch(type) {case CORE:return coreDependencies;case DESKTOP:return desktopDependencies;case ANDROID:return androidDependencies;case IOS:return iosDependencies;case HTML:return gwtDependencies;}return null;}
",getDependencies,"[{'value': ['get'], 'probability': 0.23822756111621857}, {'value': ['evaluate'], 'probability': 0.11208432167768478}, {'value': ['matches'], 'probability': 0.07375098019838333}, {'value': ['select'], 'probability': 0.06681642681360245}, {'value': ['replace'], 'probability': 0.03622547164559364}]","[1.0, 0.40115592, 0.38072872, 0.4448134, 0.4901826]",0.3587479047762695,"[{'value': ['get', 'keywords'], 'probability': 0.610404908657074}, {'value': ['get', 'attributes'], 'probability': 0.059787943959236145}, {'value': ['get', 'elements'], 'probability': 0.05681983381509781}, {'value': ['get', 'fields'], 'probability': 0.05319683626294136}, {'value': ['get', 'create', 'sql'], 'probability': 0.047900743782520294}, {'value': ['values'], 'probability': 0.03585277497768402}, {'value': ['get', 'scope'], 'probability': 0.035604484379291534}, {'value': ['get', 'classes'], 'probability': 0.03425111249089241}, {'value': ['get', 'resources'], 'probability': 0.03354842588305473}, {'value': ['get', 'code', 'table'], 'probability': 0.03263289853930473}]","[0.7609473, 0.84504366, 0.82784235, 0.84604967, 0.7477256, 0.37543342, 0.82109416, 0.8408351, 0.8492868, 0.8151707]",0.7694591527641431
